origin_zone_code,destination_zone_code,rate_per_kg
N1,N1,15.6
N1,N2,16.5
N1,E,20.7
N1,NE,26.5
N1,W1,17.3
N1,W2,19.5
N1,S1,22.2
N1,S2,24.3
N1,Central,17.8
N2,N1,16.8
N2,N2,15.8
N2,E,22.2
N2,NE,28.0
N2,W1,19.0
N2,W2,20.2
N2,S1,23.3
N2,S2,24.8
N2,Central,18.4
E,N1,20.0
E,N2,20.8
E,E,18.7
E,NE,22.8
E,W1,20.5
E,W2,19.8
E,S1,20.6
E,S2,24.0
E,Central,20.0
NE,N1,21.6
NE,N2,25.4
NE,E,17.7
NE,NE,18.4
NE,W1,22.5
NE,W2,24.5
NE,S1,22.8
NE,S2,25.5
NE,Central,22.0
W1,N1,18.0
W1,N2,20.3
W1,E,22.8
W1,NE,28.8
W1,W1,14.5
W1,W2,17.3
W1,S1,21.3
W1,S2,22.8
W1,Central,18.5
W2,N1,20.5
W2,N2,22.5
W2,E,22.8
W2,NE,28.2
W2,W1,17.0
W2,W2,17.0
W2,S1,20.5
W2,S2,22.0
W2,Central,19.3
S1,N1,21.0
S1,N2,22.2
S1,E,21.2
S1,NE,26.8
S1,W1,18.0
S1,W2,16.5
S1,S1,16.2
S1,S2,16.6
S1,Central,19.3
S2,N1,24.8
S2,N2,26.8
S2,E,23.5
S2,NE,30.8
S2,W1,19.0
S2,W2,17.4
S2,S1,17.3
S2,S2,15.7
S2,Central,21.5
Central,N1,16.7
Central,N2,17.8
Central,E,20.8
Central,NE,27.8
Central,W1,15.6
Central,W2,16.7
Central,S1,20.0
Central,S2,23.0
Central,Central,16.3
